Je	vais	élaborer	un	plan	pour	redresser	nos	comptes.	gallicisme			Ces	grosses	bûches	brûlent	en	lançant	des	étincelles	qui	brillent.	unacc	NP mov		Je	ne	crois	pas	que	cette	idée	soit	bonne.	subjonctif	complétive	
Le	joueur	sort	une	carte	dissimulée	dans	sa	manche.	transitive VP			Tous	les	soirs	le	voisin	sort	son	chien	qui	aboie.	unerg	1 arg		Il	y	a	trop	de	pigeons	dans	cette	ville.	Il y a		
Le	pompier	respire	un	air	chargé	de	fines	particules.	relative without head			La	femme	dont	le	technicien	répare	le	moteur	parle	fort.	Embed. Rel.	Abar mov		Elle	sait	parfaitement	à	quelle	heure	partira	son	chef.	A_mov	Syl-inv	
Elle	montre	son	bras	pris	dans	un	gros	plâtre.	relative without head			Il	rit	de	la	couleur	des	rideaux	qui		chambre.	long DP	Unerg + compl		Le	boulanger	du	village	est	amoureux	de	la	factrice.	copular verb		
Le	héros	que	le	sort	a	abandonné	se	désespère.	que			Le	magicien	qui	faisait	disparaître	les	bonbons	est	décédé	hier.	unacc			Des	animaux	du	zoo	se	sont	échappés	hier	matin.	pron verb		
C'est	le	coureur	italien	qui	courre	le	plus	vite.	A bar clefting			Et	maintenant	elle	exige	que	soit	éliminée	cette	solution	insensée.	Styl_Inv	v_mov		Il	aimerait	bien	que	ses	invités	apprécient	le	repas.			
Il	est	improbable	que	ce	joueur	gagne	la	coupe.	completive			Ce	concert,	quand	il	a	eu	lieu,	elle	chantait	encore.	Topic Anphore	Vmov	unerg	Il	a	plu	toute	la	journée	de	la	noce.	verbe impers		
Il	explique	que	son	inspiration	vient	de	ses	voyages.	completive	unerg		Certains	journalistes	aiment	à	publier	des	histoires	de	faits	divers.				Deux	hommes	sont	venus	pour	nettoyer	la	grande	salle.	unacc	NP-mov	
Elle	y	compte	les	mots	qui	sont	mal	orthographiés	y clitic	relative		La	France	y	exporte	encore	aujourd'hui	des	tonnes	de	blé.	y														
Une	voiture	de	sport	rouge	a	défoncé	la	barrière.	long DP			Les	marins,	globalement	je	ne	pense	pas	qu'ils	aiment	nager.	unerg	A-bar topcaliz		La	maison	où	habite	cet	homme	est	super	jolie.	V-mov	Syl-inv	Nested-rel
Le	père	de	famille	voudrait	que	ses	enfants	dorment.	Modal + que	unerg		Maintenant	le	président	du	comité	olympique	y	met	du	sien.	y	lex		Il	ne	faut	pas	déranger	un	chat	qui	dort.			
Nous	allons	y	bâtir	une	maison	de	deux	étages.	y clitic loc			Il	a	trop	puni	les	élèves	et	a	été	viré.	passif	A-mov		Les	feuilles	des	arbres	tombent	sans	faire	de	bruit.			
